featureName,gnisId,gnisClass,county,state,latitude,longitude,elevation,map,bgnDate,entryDate
Trail Head Ski Touring Center,1922656,Locale,Windsor,VT,434641N,0724751W,827,Rochester,,5/11/2001
Trail Head Winter Sports Area,1461832,Locale,Windsor,VT,434627N,0724654W,948,Rochester,,6/1/1991
Trapp Family Lodge and Cross Country Ski Center,1918474,Locale,Lamoille,VT,442754N,0724441W,1348,Stowe,,5/8/2001
Troy,1459958,Populated Place,Orleans,VT,445405N,0722405W,745,North Troy,,10/29/1980
Tucker Hill Ski Center,1919225,Locale,Washington,VT,441055N,0725206W,932,Waitsfield,,5/8/2001
Tucker Johnson Shelter,1461704,Locale,Rutland,VT,434055N,0725049W,2283,Pico Peak,,6/1/1992
Tudhopes Sailing Center,1918550,Locale,Grand Isle,VT,444606N,0731700W,105,North Hero,,5/8/2001
Tunbridge,1459963,Populated Place,Orange,VT,435327N,0722928W,584,Chelsea,,10/29/1980
Tupper,1461554,Populated Place,Rutland,VT,434826N,0724705W,778,Rochester,,10/29/1980
Twenty-Mile Encampment (historical),1922663,Locale,Windsor,VT,Unknown,Unknown,,Unknown,,5/11/2001
Twin City Plaza Shopping Center,1919226,Locale,Washington,VT,441337N,0723303W,541,Barre West,,5/8/2001
Twin Orchards,1459975,Populated Place,Chittenden,VT,442614N,0731236W,200,Burlington,,10/29/1980
Tyson,1922665,Populated Place,Windsor,VT,432755N,0724218W,1083,Ludlow,,5/11/2001
Underhill,1459983,Populated Place,Chittenden,VT,443133N,0725642W,705,Underhill,,10/29/1980
Underhill Center,1459984,Populated Place,Chittenden,VT,443027N,0725358W,791,Underhill,,8/27/2002
Union Station,1459992,Locale,Chittenden,VT,442832N,0731309W,121,Burlington,,10/29/1980
Union Village,1459994,Populated Place,Orange,VT,434719N,0721519W,476,South Strafford,,10/29/1980
United State Forest Service Silver Lake Campground,1918930,Locale,Addison,VT,435350N,0730258W,1270,East Middlebury,,5/8/2001
United States Forest Service Mount Moosalamoo Campground,1918929,Locale,Addison,VT,435508N,0730137W,1562,East Middlebury,,5/8/2001
University Mall Shopping Center,1918933,Locale,Chittenden,VT,442755N,0731101W,308,Burlington,,5/8/2001
University of Vermont Morgan Horse Farm,1459996,Locale,Addison,VT,440229N,0731102W,387,Middlebury,,10/29/1980
Upper Graniteville,1460000,Populated Place,Washington,VT,440830N,0722835W,1467,Barre East,,10/29/1980
Vergennes,1460018,Populated Place,Addison,VT,441002N,0731514W,194,Vergennes West,,10/29/1980
Vermont Shopping Center,1919241,Locale,Washington,VT,441347N,0723303W,541,Barre West,,5/8/2001
Vermont State Craft Center Shelburne Farms,1918938,Locale,Chittenden,VT,442843N,0731247W,217,Burlington,,5/8/2001
